225,-16.3077,
1402.09,-131.829,
595.36,-61.0167,
361,-39.1111,
225,-24,
763.141,-118.708,
424.36,-56.3459,
245.444,-55.641,
429.082,-129.59,
1314.06,-133.776,
828.16,-113.668,
1000.14,-95.3991,
948.64,-83.7,
177.778,-37.0952,
449.44,-92.6333,
182.25,-71.9,
1115.56,-104.242,
1156,-288,
400,-32.3333,
1657.65,-145.881,
186.778,-28.4912,
324,-19.25,
926.864,-259.681,
225,-16.3077,
169,-14.3636,
342.25,-44.6333,
1190.25,-102.5,
800.082,-139.014,
784,-391,
795.24,-208.274,
915.063,-76.8777,
1849,-204.444,
484,-59.5,
1253.16,-271.426,
256,-17.2857,
798.063,-80.8526,
513.778,-69.0606,
100,-11.5,
1024,-84.3333,
760.184,-89.1913,
350.224,-271.397,
1067.11,-144.515,
205.444,-35.2549,
42.25,-27.1667,
196,-15.3333,
770.063,-92.3409,
1521,-168,
544.444,-115.667,
2198.57,-196.871,
529,-104.8,
225
-16.3077,1402.09
-131.829,595.36
-61.0167,361
-39.1111,225
-24,763.141
-118.708,424.36
-56.3459,245.444
-55.641,429.082
-129.59,1314.06
-133.776,828.16
-113.668,1000.14
-95.3991,948.64
-83.7,177.778
-37.0952,449.44
-92.6333,182.25
-71.9,1115.56
-104.242,1156
-288,400
-32.3333,1657.65
-145.881,186.778
-28.4912,324
-19.25,926.864
-259.681,225
-16.3077,169
-14.3636,342.25
-44.6333,1190.25
-102.5,800.082
-139.014,784
-391,795.24
-208.274,915.063
-76.8777,1849
-204.444,484
-59.5,1253.16
-271.426,256
-17.2857,798.063
-80.8526,513.778
-69.0606,100
-11.5,1024
-84.3333,760.184
-89.1913,350.224
-271.397,1067.11
-144.515,205.444
-35.2549,42.25
-27.1667,196
-15.3333,770.063
-92.3409,1521
-168,544.444
-115.667,2198.57
-196.871,529
-104.8,132.25
-9.17308,988.753
-92.6713,406.022
-41.294,240.25
-25.6944,144
-15,546.391
-84.7083,292.41
-38.5149,173.361
-39.0064,313.796
-94.5031,930.25
-94.4103,589.41
-80.6107,695.641
-66.0497,652.803
-57.2859,122.84
-25.3229,322.202
-66.1255,132.25
-51.9,778.41
-72.4349,855.563
-212.891,256
-20.3333,1170.62
-102.726,124.694
-18.6886,189.063
-10.8164,686.149
-191.979,132.25
-9.17308,100
-8.09091,232.563
-30.0083,826.563
-70.875,577.716
-100.1,588.063
-293.031,585.64
-153.116,625
-52.1915,1332.25
-147.028,333.063
-40.6328,924.16
-199.904,150.063
-9.71875,552.25
-55.641,357.84
-47.7964,60.0625
-6.50781,702.25
-57.5208,532.291
-62.1531,262.903
-203.48,765.444
-103.379,140.028
-23.7108,30.25
-19.1667,115.563
-8.63021,540.563
-64.5227,1089
-120,393.361
-83.2917,1571.24
-140.412,380.25
-75.05,64
-3.92308,647.42
-60.3345,252.81
-25.3344,144
-15,81
-8,365.766
-56.375,184.96
